,lat,lon,country,rp10,rp100,kg
AU_000495,-32.9341999895744,117.1797,AU,-26.6220949712727,-32.53553158504,Mediterranean
AU_000510,-30.8388999885514,128.1139,AU,-4.79636770207259,-1.83811425156401,Arid hot
AU_000513,-30.784699988526,121.4533,AU,-24.3555379843409,-27.0887504378801,Arid hot
AU_000522,-12.4238999883292,130.8925,AU,-55.3563248123798,-52.5134078728182,Tropical
AU_000617,-13.7378999875893,130.6834,AU,-30.7231966617114,-11.9399325721617,Tropical
AU_000628,-18.6369999859586,135.945,AU,-57.2935397749518,-58.2325028973917,Arid hot
AU_000650,-23.7950999860907,133.889,AU,-34.1870780644249,-32.663545545193,Arid hot
AU_000652,-22.9493999859521,136.1442,AU,-32.0356590313545,-29.3708482636792,Arid hot
AU_000670,-31.1557999887011,136.8054,AU,-30.6133938523643,-37.3277963236558,Arid hot
AU_000672,-32.5225999893681,136.4926,AU,-14.1754470137835,-20.1250970197947,Arid cold
AU_000695,-32.1296999891732,133.6976,AU,-27.9045044714027,-36.8992145578788,Arid cold
AU_000701,-33.7080999899674,136.5026,AU,-23.9512166902458,-33.5194639091154,Arid cold
AU_000722,-29.0388999877477,167.9408,AU,-45.3137214019166,-40.9550944850933,Humid subtropical
AU_000768,-35.7528999910226,136.5938,AU,-43.4183566582531,-54.4978298313253,Mediterranean
AU_000777,-34.7976999905281,138.6281,AU,-40.5510285720384,-41.4937217690332,Arid cold
AU_000780,-34.952399990608,138.5204,AU,-24.2953703024797,-17.5177087867417,Mediterranean
AU_000783,-34.7110999904833,138.6222,AU,-39.7476640932822,-40.7115522739668,Arid cold
AU_000784,-34.9210999905918,138.6216,AU,-29.1534214060639,-22.4900454910871,Mediterranean
AU_000789,-34.5518999904011,138.8342,AU,-22.142160919323,-23.6372699047866,Mediterranean
AU_000794,-34.7121999904839,138.9469,AU,-32.9342696061624,-35.1291957352502,Mediterranean
AU_000796,-34.9481999906059,138.8071,AU,-26.7354693034167,-18.3914140938046,Mediterranean
AU_000799,-35.4122999908462,138.5751,AU,-20.8895782994788,4.16712225372568,Mediterranean
AU_000800,-35.4427999908619,138.5444,AU,-23.1892998605404,0.379226899044741,Mediterranean
AU_000832,-37.7472999920472,140.7739,AU,-12.7277838974992,-12.0802792818336,Mediterranean
AU_000835,-36.0581999911805,139.5913,AU,-23.8783454529989,-24.1795871411092,Mediterranean
AU_000844,-13.7641999875758,143.1178,AU,-56.9301275655035,-53.7824598075202,Tropical
AU_000845,-10.585299989568,142.21,AU,-55.5042609392991,-40.6730835662554,Tropical
AU_000846,-12.6266999882069,141.8836,AU,-58.0865740353461,-50.2438837489035,Tropical
AU_000850,-15.558099986774,144.4453,AU,-63.2079807716246,-59.1554697250466,Tropical
