station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end
AU_000038,-31.9557999890877,115.7619,AU,414,0.8363262,0.2345474,0.1094855,37.0,53.1,66.5,82.9,Mediterranean,126.0,1000.0,13.0,20.28314,1995-05-09 01:00:00,2015-08-20 10:00:00
AU_000039,-31.9191999890698,115.8728,AU,414,0.8363262,0.2345474,0.1094855,41.3,59.3,74.3,92.6,Mediterranean,126.0,1000.0,13.0,21.58362,1994-01-19 01:00:00,2015-08-20 10:00:00
AU_000468,-31.4755999888542,118.2789,AU,422,0.7669253,0.2741109,0.2188355,27.0,42.2,57.8,79.4,Arid cold,8.0,520.0,10.0,49.57598,1966-01-02 10:00:00,2015-08-01 00:00:00
AU_000469,-31.4993999888657,118.2242,AU,422,0.7669253,0.2741109,0.2188355,25.6,40.1,54.9,75.4,Arid cold,8.0,520.0,10.0,22.05784,1963-03-11 10:00:00,1985-04-01 00:00:00
AU_000470,-14.7882999870887,126.4964,AU,466,0.8403251,0.2883699,-0.02428755,78.6,115.7,139.7,164.7,Tropical,103.0,1000.0,19.0,17.99738,1997-09-01 12:00:00,2015-09-01 00:00:00
AU_000475,-16.4180999864751,126.1025,AU,165,0.7457653,0.3701203,0.1005066,75.1,126.1,168.0,218.4,Tropical,28.0,500.0,4.0,21.78029,1993-11-19 19:00:00,2015-09-01 00:00:00
AU_000480,-15.379699986843,126.3114,AU,466,0.8403251,0.2883699,-0.02428755,75.1,110.6,133.6,157.5,Tropical,103.0,1000.0,19.0,18.74857,1996-12-01 03:00:00,2015-09-01 00:00:00
AU_000495,-32.9341999895744,117.1797,AU,422,0.7669253,0.2741109,0.2188355,26.2,41.0,56.1,77.0,Mediterranean,8.0,520.0,10.0,41.76181,1963-08-27 13:00:00,2005-06-01 00:00:00
AU_000497,-33.9643999900987,118.4889,AU,422,0.7669253,0.2741109,0.2188355,23.5,36.7,50.3,69.0,Arid cold,8.0,520.0,10.0,47.33333,1968-05-01 13:00:00,2015-09-01 00:00:00
AU_000501,-32.1177999891674,116.8678,AU,422,0.7669253,0.2741109,0.2188355,25.7,40.1,54.9,75.5,Mediterranean,8.0,520.0,10.0,54.65959,1960-08-02 15:00:00,2015-04-01 00:00:00
AU_000509,-31.679699988953,128.8958,AU,427,0.7807601,0.3145711,0.1087695,31.0,49.1,64.1,82.5,Arid cold,102.0,540.0,14.0,20.3412,1995-03-29 10:00:00,2015-08-01 00:00:00
AU_000513,-30.784699988526,121.4533,AU,422,0.7669253,0.2741109,0.2188355,30.1,47.0,64.4,88.4,Arid hot,8.0,520.0,10.0,76.32752,1939-04-03 10:00:00,2015-08-01 00:00:00
AU_000514,-28.8877999876844,121.3295,AU,422,0.7669253,0.2741109,0.2188355,29.3,45.9,62.8,86.3,Arid hot,8.0,520.0,10.0,51.42562,1963-02-26 20:00:00,2014-08-01 00:00:00
AU_000522,-12.4238999883292,130.8925,AU,466,0.8403251,0.2883699,-0.02428755,99.8,146.8,177.3,209.1,Tropical,103.0,1000.0,19.0,61.45003,1953-09-17 10:00:00,2015-03-01 00:00:00
AU_000551,-11.1537999891604,132.143,AU,466,0.8403251,0.2883699,-0.02428755,93.2,137.2,165.7,195.3,Tropical,103.0,1000.0,19.0,18.38672,1996-10-10 07:00:00,2015-03-01 00:00:00
AU_000560,-13.1671999878953,130.1226,AU,466,0.8403251,0.2883699,-0.02428755,96.8,142.5,172.1,202.9,Tropical,103.0,1000.0,19.0,18.24492,1997-01-01 02:00:00,2015-04-01 00:00:00
AU_000580,-15.5747999867677,133.2137,AU,466,0.8403251,0.2883699,-0.02428755,90.2,132.7,160.2,188.9,Arid hot,103.0,1000.0,19.0,18.57906,1996-10-01 01:00:00,2015-05-01 00:00:00
AU_000586,-14.8529999870606,134.0361,AU,466,0.8403251,0.2883699,-0.02428755,71.8,105.6,127.6,150.4,Tropical,103.0,1000.0,19.0,16.7974,1997-08-13 19:00:00,2014-06-01 00:00:00
AU_000592,-17.2121999862482,137.9462,AU,466,0.8403251,0.2883699,-0.02428755,79.5,117.1,141.4,166.7,Tropical,103.0,1000.0,19.0,16.65024,1997-10-06 13:00:00,2014-06-01 00:00:00
AU_000598,-16.4154999864759,132.0859,AU,466,0.8403251,0.2883699,-0.02428755,68.7,101.2,122.1,144.0,Arid hot,103.0,1000.0,19.0,18.09868,1997-07-26 12:00:00,2015-09-01 00:00:00
AU_000603,-17.3868999862047,131.1166,AU,466,0.8403251,0.2883699,-0.02428755,69.9,102.8,124.2,146.4,Arid hot,103.0,1000.0,19.0,18.66393,1996-07-01 01:00:00,2015-03-01 00:00:00
AU_000605,-15.6613999867352,130.4808,AU,466,0.8403251,0.2883699,-0.02428755,73.1,107.7,130.0,153.3,Arid hot,103.0,1000.0,19.0,18.16838,1996-07-01 01:00:00,2014-09-01 00:00:00
AU_000607,-17.3981999862019,131.9558,AU,466,0.8403251,0.2883699,-0.02428755,65.3,96.1,116.1,136.8,Arid hot,103.0,1000.0,19.0,16.8112,1997-11-08 18:00:00,2014-09-01 00:00:00
AU_000617,-13.7378999875893,130.6834,AU,466,0.8403251,0.2883699,-0.02428755,76.2,112.2,135.5,159.7,Tropical,103.0,1000.0,19.0,34.77515,1980-05-21 10:00:00,2015-03-01 00:00:00
AU_000628,-18.6369999859586,135.945,AU,466,0.8403251,0.2883699,-0.02428755,53.1,78.2,94.4,111.3,Arid hot,103.0,1000.0,19.0,45.44319,1968-12-20 22:00:00,2014-06-01 00:00:00
AU_000630,-17.5550999861648,133.5439,AU,466,0.8403251,0.2883699,-0.02428755,60.1,88.5,106.8,126.0,Arid hot,103.0,1000.0,19.0,27.57118,1988-01-04 16:00:00,2015-08-01 00:00:00
